"situation_name","description","version","actions","is_anomaly","anomaly_type","aigenerated","metadata"
"CICSplex_AIDs_Critical","Critical threshold exceeded for AIDs",1,"{""If many AIDs have accumulated, response time may be adversely affected because CICS attempts to start each AID on every dispatch of the Terminal Control Program.If a required terminal is unavailable because a task currently running on the terminal is not completing, you may kill the task with OMEGAMON/CICS and allow the scheduled AID to execute.If the AID is waiting on a remote system, check that the remote system is available and that the connections are in service.""}",False,"OMEGAMON situation",False,"{""odp_table_name"":[""cicsrov""],""metric_key"":[""aids""],""teps_full_name"":[""CICSplex_Region_Overview.AIDs""],""formula"":""*IF *VALUE CICSplex_Region_Overview.AIDs *GT 300""}"
"CICSplex_AIDs_Warning","Warning threshold exceeded for AIDs",1,"{""If many AIDs have accumulated, response time may be adversely affected because CICS attempts to start each AID on every dispatch of the Terminal Control Program.If a required terminal is unavailable because a task currently running on the terminal is not completing, you may kill the task with OMEGAMON/CICS and allow the scheduled AID to execute.If the AID is waiting on a remote system, check that the remote system is available and that the connections are in service.""}",False,"OMEGAMON situation",False,"{""odp_table_name"":[""cicsrov""],""metric_key"":[""aids""],""teps_full_name"":[""CICSplex_Region_Overview.AIDs""],""formula"":""*IF *VALUE CICSplex_Region_Overview.AIDs *GT 100 *AND *VALUE CICSplex_Region_Overview.AIDs *LE 300""}"
"CICSplex_Activity_Warning","BTS Activity has Abended or has been Forced",1,"{""The Business Transaction Services Activity identified in the alert is in an ABENDED or FORCED state - which means that it has not completed normally. You should consider checking the applications that are associated with this Activity to ensure that the data it processes is in a valid state.""}",False,"OMEGAMON situation",False,"{""odp_table_name"":[""cicsacd""],""metric_key"":[""completion_status""],""teps_full_name"":[""CICSplex_BTS_Activity_Details.Completion_status""],""formula"":""*IF *VALUE CICSplex_BTS_Activity_Details.Completion_status *NE Normal*AND *VALUE CICSplex_BTS_Activity_Details.Completion_status *NEIncomplete""}"
"CICSplex_AtClassMax_Critical","Critical threshold exceeded for Class Max Task limit",1,"{""When the limit is reached for a class, a new task belonging to the same class cannot be run until an old task has terminated.Use the Transaction Analysis report to determine whether a problem is preventing tasks within the specified class from completing in a timely manner.For example, tasks may be waiting for an enqueue, or CICS itself may be short-on-storage.If you find that the class max task value is too low, you may change it with either OMEGAMON/CICS or the CICS CEMT transaction.""}",False,"OMEGAMON situation",False,"{""odp_table_name"":[""cicstca""],""metric_key"":[""percent_of_limit""],""teps_full_name"":[""CICSplex_Task_Class_Analysis.Percent_of_Limit""],""formula"":""*IF *VALUE CICSplex_Task_Class_Analysis.Percent_of_Limit *GE 100""}"
"CICSplex_AtClassMax_Warning","Warning threshold exceeded for Class Max Task limit",1,"{""When the limit is reached for a class, a new task belonging to the same class cannot be run until an old task has terminated.Use the Transaction Analysis report to determine whether a problem is preventing tasks within the specified class from completing in a timely manner.For example, tasks may be waiting for an enqueue, or CICS itself may be short-on-storage.If you find that the class max task value is too low, you may change it with either OMEGAMON/CICS or the CICS CEMT transaction.""}",False,"OMEGAMON situation",False,"{""odp_table_name"":[""cicstca""],""metric_key"":[""percent_of_limit""],""teps_full_name"":[""CICSplex_Task_Class_Analysis.Percent_of_Limit""],""formula"":""*IF *VALUE CICSplex_Task_Class_Analysis.Percent_of_Limit *GE 100""}"
"CICSplex_AtMaxTCB_Critical","Critical threshold exceeded TCBs for currently attached",1,"{""The number of TCBs currently attached is either equal to or greater than the maximum number of TCBs allowed for the pool that is being reported on . Review the CICS System Initialization Table parameters MAXJVMTCBS, MAXOPEN TCBS, MAXSSLTCBS or MAXXPTCBS and increase the maximum that can be allocated alternatively you can change the values dynamically by using the CEMT SET DISPATCHER command.""}",False,"OMEGAMON situation",False,"{""odp_table_name"":[""cicscdp""],""metric_key"":[""current_tcbs_attached"",""maximum_tcbs""],""teps_full_name"":[""CICSplex_Dispatcher_TCB_Pools.Current_TCBs_attached"",""CICSplex_Dispatcher_TCB_Pools.Maximum_TCBs""],""formula"":""*IF *VALUE CICSplex_Dispatcher_TCB_Pools.Current_TCBs_attached *GE CICSplex_Dispatcher_TCB_Pools.Maximum_TCBs""}"
"CICSplex_AtMaxTask_Critical","Critical threshold exceeded for Max Task limit",1,"{""When CICS is at the MXT limit, no new tasks will be dispatched.Use the Transaction Analysis report to determine whether there is a problem that is preventing tasks from completing in a timely manner.For example, tasks may be waiting for an enqueue, or CICS may be short-on-storage.To alleviate a bottleneck, you may use OMEGAMON/CICS to kill the tasks causing degradation.The initial MXT limit is defined in the SIT and may be changed dynamically using the CEMT transaction.""}",False,"OMEGAMON situation",False,"{""odp_table_name"":[""cicsrov""],""metric_key"":[""maximum_tasks_percent""],""teps_full_name"":[""CICSplex_Region_Overview.Maximum_Tasks_Percent""],""formula"":""*IF *VALUE CICSplex_Region_Overview.Maximum_Tasks_Percent *GE 100""}"
"CICSplex_AtMaxTask_Warning","Warning threshold exceeded for Max Task limit",1,"{""When CICS is at the MXT limit, no new tasks will be dispatched.Use the Transaction Analysis report to determine whether there is a problem that is preventing tasks from completing in a timely manner.For example, tasks may be waiting for an enqueue, or CICS may be short-on-storage.To alleviate a bottleneck, you may use OMEGAMON/CICS to kill the tasks causing degradation.The initial MXT limit is defined in the SIT and may be changed dynamically using the CEMT transaction.""}",False,"OMEGAMON situation",False,"{""odp_table_name"":[""cicsrov""],""metric_key"":[""maximum_tasks_percent""],""teps_full_name"":[""CICSplex_Region_Overview.Maximum_Tasks_Percent""],""formula"":""*IF *VALUE CICSplex_Region_Overview.Maximum_Tasks_Percent *GE 100""}"
"CICSplex_Atom_Feed_Warning","Atom Feed is Disabled.",1,"{""The selected Atom Feed is disabled. You should review the CICS log for messages related to this Atom Feed to determine the cause of this problem. You can discard the existing definition, and reinstall the Atom Feed. Be sure to check for messages that are issued during this process. You can use the take action feature of OMEGAMON XE for CICS on z/OS to issue a command to enable the Atom Feed.""}",False,"OMEGAMON situation",False,"{""odp_table_name"":[""cicsafc""],""metric_key"":[""atom_service_status""],""teps_full_name"":[""CICSplex_Atom_Feed_Summary.Atom_Service_Status""],""formula"":""*IF *VALUE CICSplex_Atom_Feed_Summary.Atom_Service_Status *EQ DISABLED""}"
"CICSplex_Bundle_Parts_Warning","Application Bundle Part is not Enabled.",1,"{""The selected Application Bundle Part is not enabled. You should review the CICS log for messages relating to the named Application Bundle Part. You can also use the take action feature of OMEGAMON XE for CICS on z/OS to enable the Application Bundle Part. If the installed definition is incorrect you can discard the definition, and reinstall the correct definition using CEDA.""}",False,"OMEGAMON situation",False,"{""odp_table_name"":[""cicsbnp""],""metric_key"":[""bundle_part_status""],""teps_full_name"":[""CICSplex_Application_Bundle_Parts.Bundle_Part_Status""],""formula"":""*IF *VALUE CICSplex_Application_Bundle_Parts.Bundle_Part_Status *NE ENABLED""}"
